"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10630","Verify the login works","chromium","2026-05-08","passed","2026-05-08","","05_Allure_report/230_Login.spec.ts","",""
"","421","focused test","chromium","2026-05-07","passed","2026-05-07","","01_Basics/lab_210_Test_annotations.spec.ts","",""
